,Intercept,diet[T.NC],mz,rt,nearest_distance,scan,Adduct,CAS_Number,Charge,Compound_Name,Compound_Source,Data_Collector,ExactMass,FileScanUniqueID,INCHI,INCHI_AUX,Instrument,IonMode,Ion_Source,LibMZ,LibraryName,LibraryQualityString,Library_Class,MQScore,MZErrorPPM,MassDiff,NumberHits,Organism,PI,Precursor_MZ,Pubmed_ID,RT_Query,SharedPeaks,Smiles,SpecCharge,SpecMZ,SpectrumFile,SpectrumID,TIC_Query,UpdateWorkflowName,tags,internalFilename,compound_type,manual_annotation,mz_diff,rt_diff,document,motif,probability,overlap,precursor.mass,retention.time,document.annotation,urine_mass2motif_78.m2m http://ms2lda.org/motifdb/motif/150868 Betaine related,euphorbia_motif_350.m2m http://ms2lda.org/motifdb/motif/151080 Import motif,motif_474,motif_418,euphorbia_motif_18.m2m http://ms2lda.org/motifdb/motif/151137 m/z 203 189,motif_313,motif_449,motif_400,motif_543,motif_478,motif_338,gnps_motif_43.m2m http://ms2lda.org/motifdb/motif/151021 Water loss - indicative of a free hydroxyl group – (in beer often seen in sugary structures),motif_388,motif_306,gnps_motif_38.m2m http://ms2lda.org/motifdb/motif/151045 Loss of CH2O2 - indicative for underivatized carboxilic acid group,motif_559,motif_451,motif_443,motif_469
517.301204222366_3.91389616336633,2.640745457583637,-1.6336457045748674,517.301204222366,234.8337698019798,2.244864335214896,5882.0,M+H,81243,1.0,Spectral Match to Taurocholic acid from NIST14,Isolated,Data deposited by aaksenov,0.0,spectra/specs_ms.pklbin5882,,,Q-TOF,Positive,ESI,516.3,lib-00024.mgf,Bronze,3.0,0.84704,1.89146,0.0009765619999999999,1.0,GNPS-NIST14-MATCHES,Data from Karin,516.3,,236.843,13.0,,0.0,516.299,specs_ms.pklbin,CCMSLIB00003137327,253956.0,UPDATE-SINGLE-ANNOTATED-BRONZE, ,specs_ms.pklbin,,,-1.0012042223660274,2.009230198020191,5882.0,"motif_543,motif_449,gnps_motif_56.m2m","0.5540,0.1626,0.1863","0.7963,0.8450,1.0000",516.29901,236.843002,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
476.265387682712_6.49327559115179,1.488437708789082,-0.4724184783175431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
441.372182893918_8.58051588966588,2.3176942433654983,5.199474403075889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
439.356014767333_8.81944211309524,1.641516741687031,4.985003539733603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
315.252810704877_6.19663696895424,1.3286510075866893,4.528658219985679,315.252810704877,371.7982181372544,3.694218142104209,493.0,M+H,,1.0,NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid,isolated,lfnothias,314.246,spectra/specs_ms.pklbin493,"InChI=1S/C18H34O4/c1-2-3-4-5-6-10-13-16-18(22-16)15(19)12-9-7-8-11-14-17(20)21/h15-16,18-19H,2-14H2,1H3,(H,20,21)",,Maxis II HD Q-TOF Bruker,positive,LC-ESI,315.253,lib-00000.mgf,Gold,1.0,0.671871,0.0,0.0,1.0,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,315.253,,368.10400000000004,8.0,CCCCCCCCC1OC1C(O)CCCCCCC(O)=O,0.0,315.253,specs_ms.pklbin,CCMSLIB00000846581,243098.0,UPDATE-SINGLE-ANNOTATED-GOLD, ,specs_ms.pklbin,,,0.00018929512299337148,-3.6942181372543814,493.0,"motif_338,gnps_motif_56.m2m","0.5204,0.2301","0.4612,1.0000",315.25299,368.10400400000003,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
337.235754645209_6.18759344391784,1.1513724889099315,4.121077605895715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
457.366831420934_7.30894354110207,1.1026797856628612,4.6040995804593114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
365.265704727492_7.94333537336412,1.2678623761474803,4.8188188759610195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
343.284121651958_7.94002604166666,0.7342205609619334,4.806305953674033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
379.294958241833_5.05747274193548,0.5801745023071483,4.465119668655112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
441.202789865691_4.05032258883248,0.4264817799865917,3.2555821625515966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
332.279454381343_6.19512250859106,-0.7572378550231741,4.261889526061728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
309.086376689521_3.92341444444444,-0.07090324503782243,4.154701778106406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
455.350961305404_8.04567663776493,-0.15553516489866226,4.465379306487756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
469.329636705929_6.24487192982455,-0.3053984080016896,4.182159730605797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
397.17974972281_3.49083982905983,-0.5395001803100392,3.404307314567282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
455.351051076564_7.12943162511542,-0.3387956057250783,4.203113862685876,455.351051076564,427.7658975069252,11.789854928827502,5019.0,M+H,53862354,1.0,Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14,Isolated,Data deposited by alchemistmatt,0.0,spectra/specs_ms.pklbin5019,,,HCD,Positive,ESI,454.291,lib-00024.mgf,Bronze,3.0,0.899164,4.43363,0.00201416,1.0,GNPS-NIST14-MATCHES,Data from Katrina Waters;Yoshihiro Kawaoka;Michael Diamond;Richard Smith;Thomas Metz,454.291,,439.50800000000004,12.0,,0.0,454.293,specs_ms.pklbin,CCMSLIB00003134881,254512.0,UPDATE-SINGLE-ANNOTATED-BRONZE, ,specs_ms.pklbin,,,-1.0600510765639797,11.74210249307481,5019.0,"motif_313,motif_443","0.4816,0.4459","0.6826,0.5034",454.293,439.507996,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
457.36651690153_6.52517931345979,-0.5942940149963185,4.42949707191439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
469.293106486394_8.41621982323232,1.7366600598633006,1.2435417858883897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
360.310161345639_7.9219421859545,0.1734996403991893,4.339013406448081,360.310161345639,475.31653115727,7.658185237562851,1846.0,M+H-H2O,434139,1.0,Spectral Match to Lithocholic acid from NIST14,Isolated,Data deposited by aaksenov,0.0,spectra/specs_ms.pklbin1846,,,HCD,Positive,ESI,359.29400000000004,lib-00024.mgf,Bronze,3.0,0.924409,0.0,0.0,1.0,GNPS-NIST14-MATCHES,Data from Rob Knight,359.29400000000004,,482.907,13.0,,0.0,359.29400000000004,specs_ms.pklbin,CCMSLIB00003137870,64161.6,UPDATE-SINGLE-ANNOTATED-BRONZE, ,specs_ms.pklbin,,,-1.0161613456389773,7.59046884272999,1846.0,,,,359.29401,482.907013,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
495.308316233398_8.59979928229665,2.0167732800781444,1.6268986513838328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
300.261325712645_7.77726413301661,0.3179216946899608,3.689745971374229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
487.340155258932_5.01889095701541,-0.5969123278320119,3.6818202225491548,487.340155258932,301.1334574209246,2.8274575471134837,5500.0,M-H2O+H,,1.0,"NCGC00180746-02_C30H48O6_Olean-12-en-28-oic acid, 2,3,19,24-tetrahydroxy-, (2alpha,3beta,5xi,9xi,19alpha)-",isolated,lfnothias,504.345,spectra/specs_ms.pklbin5500,"InChI=1S/C30H48O6/c1-25(2)11-13-30(24(35)36)14-12-28(5)17(21(30)23(25)34)7-8-20-26(3)15-18(32)22(33)27(4,16-31)19(26)9-10-29(20,28)6/h7,18-23,31-34H,8-16H2,1-6H3,(H,35,36)/t18-,19?,20?,21-,22+,23+,26+,27-,28-,29-,30+/m1/s1",,Maxis II HD Q-TOF Bruker,positive,LC-ESI,487.341,lib-00000.mgf,Gold,1.0,0.5774859999999999,0.0,0.0,1.0,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,487.341,,298.306,11.0,CC1(C)CC[C@@]2(CC[C@]3(C)\C(=C/CC4[C@@]5(C)C[C@@H](O)[C@H](O)[C@](C)(CO)C5CC[C@@]34C)[C@@H]2[C@@H]1O)C(O)=O,0.0,487.341,specs_ms.pklbin,CCMSLIB00000850705,97859.0,UPDATE-SINGLE-ANNOTATED-GOLD, ,specs_ms.pklbin,,,0.0008447410680219036,-2.8274574209245884,5500.0,"gnps_motif_43.m2m,motif_311,gnps_motif_56.m2m","0.1471,0.1213,0.1205","1.0000,0.4390,1.0000",487.341,298.306,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
455.351154420371_8.35954120032441,-0.3359751139343068,4.16446430366488,455.351154420371,501.57247201946456,0.8335284094381037,5045.0,M+H,,1.0,"NCGC00380944-01_C30H46O3_(3beta,5xi,9xi,13alpha,17alpha,18xi)-3-Hydroxy-13,28-epoxyurs-11-en-28-one",isolated,lfnothias,454.345,spectra/specs_ms.pklbin5045,"InChI=1S/C30H46O3/c1-18-8-14-29-17-16-28(7)27(6)13-9-20-25(3,4)22(31)11-12-26(20,5)21(27)10-15-30(28,33-24(29)32)23(29)19(18)2/h10,15,18-23,31H,8-9,11-14,16-17H2,1-7H3/t18-,19+,20?,21?,22+,23?,26+,27-,28+,29+,30+/m1/s1",,Maxis II HD Q-TOF Bruker,positive,LC-ESI,455.352,lib-00000.mgf,Gold,1.0,0.561973,0.0,0.0,1.0,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,455.352,,502.406,7.0,C[C@@H]1CC[C@@]23CC[C@@]4(C)[C@]5(C)CCC6C(C)(C)[C@@H](O)CC[C@]6(C)C5\C=C/[C@]4(OC2=O)C3[C@H]1C,0.0,455.352,specs_ms.pklbin,CCMSLIB00000854971,96557.2,UPDATE-SINGLE-ANNOTATED-GOLD, ,specs_ms.pklbin,,,0.0008455796289581485,0.8335279805354503,5045.0,"euphorbia_motif_18.m2m,motif_478","0.2804,0.6710","0.4142,0.5073",455.35199000000006,502.40600599999993,,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
457.366799678703_6.16279883597883,-0.4021138582885549,3.674376317672446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
485.287810151331_8.03892229166667,2.4486318196594437,0.7222194759175338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
423.36105123916_8.56924241486069,-0.4569353495300099,5.016052076034264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
372.347053621021_8.28502,2.684082564288349,0.298385450057701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
469.329767590821_6.62223882575757,-0.9721254740417288,4.165988990478232,469.329767590821,397.33432954545424,2.9874704778122325,5219.0,M+H,20559164,1.0,Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14,Isolated,Data deposited by mjmeehan,0.0,spectra/specs_ms.pklbin5219,,,Q-TOF,Positive,ESI,468.309,lib-00024.mgf,Bronze,3.0,0.9349559999999999,0.0,0.0,1.0,GNPS-NIST14-MATCHES,Data from Gabriel Haddad,468.309,,400.142,7.0,,0.0,468.309,specs_ms.pklbin,CCMSLIB00003136632,254854.0,UPDATE-SINGLE-ANNOTATED-BRONZE, ,specs_ms.pklbin,,,-1.0207675908209808,2.8076704545457574,5219.0,"motif_276,motif_547","0.2545,0.6547","0.4107,0.9176",468.30899000000005,400.141998,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
471.345415971435_6.02086120414673,-0.5033568773925587,3.7122576920315766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
316.284999711065_6.37701474056603,0.9147940244018749,3.9529453007504487,316.284999711065,382.6208844339618,14.553520435710377,493.0,M+H,,1.0,NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid,isolated,lfnothias,314.246,spectra/specs_ms.pklbin493,"InChI=1S/C18H34O4/c1-2-3-4-5-6-10-13-16-18(22-16)15(19)12-9-7-8-11-14-17(20)21/h15-16,18-19H,2-14H2,1H3,(H,20,21)",,Maxis II HD Q-TOF Bruker,positive,LC-ESI,315.253,lib-00000.mgf,Gold,1.0,0.671871,0.0,0.0,1.0,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,315.253,,368.10400000000004,8.0,CCCCCCCCC1OC1C(O)CCCCCCC(O)=O,0.0,315.253,specs_ms.pklbin,CCMSLIB00000846581,243098.0,UPDATE-SINGLE-ANNOTATED-GOLD, ,specs_ms.pklbin,,,-1.0319997110649979,-14.516884433961764,493.0,"motif_338,gnps_motif_56.m2m","0.5204,0.2301","0.4612,1.0000",315.25299,368.10400400000003,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
325.273650180501_7.92706438876234,-0.13948577982786148,4.425535985641196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
455.315192799865_5.59604856254855,0.8067112531006053,3.036388584785178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
511.303168892281_8.15856837209302,3.0084307755768016,0.7549860564991988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
457.366099289816_8.37520510887772,-1.1656035814941212,4.1762130944058455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
330.300264158334_7.18953613671275,2.5717869366943558,0.8678641406819381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
480.381940277813_8.8055141566265,-1.0695108805358693,4.147514650039391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
421.345735279133_8.82329656084656,-1.2873691950500294,4.850661584548667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
455.35134872754_6.61690816749585,-0.7168054018676564,3.837633439712241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
445.233997643823_3.54396729900632,-0.3152040873229787,3.1712144104764013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
455.315060790549_6.24431795212766,0.20748573201295886,4.3296600071713485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
589.409620417391_5.9886234741784,-0.3929123316467091,3.850476333312705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
503.335424027027_5.2071128235294,-0.36761802775266617,3.62514645736666,503.335424027027,312.426769411764,2.1457699905052134,5733.0,M+H,,1.0,"NCGC00347586-02_C30H46O6_3,19-Dihydroxyurs-12-ene-23,28-dioic acid",isolated,lfnothias,502.329,spectra/specs_ms.pklbin5733,"InChI=1S/C30H46O6/c1-17-9-14-30(24(34)35)16-15-26(3)18(22(30)29(17,6)36)7-8-19-25(2)12-11-21(31)28(5,23(32)33)20(25)10-13-27(19,26)4/h7,17,19-22,31,36H,8-16H2,1-6H3,(H,32,33)(H,34,35)",,Maxis II HD Q-TOF Bruker,positive,LC-ESI,503.337,lib-00000.mgf,Gold,1.0,0.502692,0.0,0.0,1.0,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,503.337,,310.281,9.0,CC1CCC2(CCC3(C)\C(=C/CC4C5(C)CCC(O)C(C)(C5CCC34C)C(O)=O)C2C1(C)O)C(O)=O,0.0,503.337,specs_ms.pklbin,CCMSLIB00000854631,238044.0,UPDATE-SINGLE-ANNOTATED-GOLD, ,specs_ms.pklbin,,,0.0015759729730007166,-2.145769411763979,5733.0,gnps_motif_56.m2m,0.1758,1.0000,503.33700999999996,310.281006,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
457.331044756977_5.78943634881825,0.5551977719604686,3.2675079790875463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
309.701274702626_8.82025208333333,-1.7219652567565724,4.9179566590115575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
342.300106926629_6.93239014084506,0.0408235158264354,3.947370359115317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
381.311255650107_5.46020645472061,-1.4260677729308888,4.311323949508384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
383.329394733454_8.57785899598393,-1.0844454203307912,4.873394080810264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
473.360911127966_5.79434814814814,-0.9203071032226368,4.037415811233237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
501.320432598349_6.22064028436018,-0.14248365504148452,3.5353109328076386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
452.312170014755_4.41509345991561,-1.193930092877178,4.25611192863436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
585.472135072737_8.80262729658792,-1.668516579693584,4.762539455108358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
310.708817070852_8.57915795262267,-1.2323288355529591,4.91826922576876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
485.324938056987_5.208479696243,-0.773024979656963,3.8178644863888778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
381.311788801513_5.59940993265992,-0.9450716410339162,4.740692207030967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
431.313583918185_7.71383020080321,1.2611432637512399,2.212729283981041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
314.304828284131_7.21905568627452,0.4077687825500682,2.6495947329327616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
395.290025060685_5.05949515077424,-0.6838592920959279,4.59123737495394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
518.323289132666_6.88250188301282,2.1811605061828807,1.3032020417973555,518.323289132666,412.9501129807692,13.49298841205608,5938.0,M+NH4,,1.0,"NCGC00384939-01_C28H38O8_Methyl 3-acetoxy-16-hydroxy-4,4,8,12,16-pentamethyl-15,17,19-trioxoandrost-11-ene-14-carboxylate",isolated,lfnothias,502.25699999999995,spectra/specs_ms.pklbin5938,"InChI=1S/C28H38O8/c1-15-13-18-24(5,28(22(33)35-8)21(32)26(7,34)20(31)25(15,28)6)11-9-17-23(3,4)19(36-16(2)30)10-12-27(17,18)14-29/h13-14,17-19,34H,9-12H2,1-8H3",,Maxis II HD Q-TOF Bruker,positive,LC-ESI,520.29,lib-00000.mgf,Gold,1.0,0.652135,96.1941,0.050048800000000004,1.0,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,520.29,,426.29900000000004,6.0,COC(=O)C12C(=O)C(C)(O)C(=O)C1(C)\C(=C/C3C2(C)CCC4C(C)(C)C(CCC34C=O)OC(C)=O)C,0.0,520.34,specs_ms.pklbin,CCMSLIB00000855272,254806.0,UPDATE-SINGLE-ANNOTATED-GOLD, ,specs_ms.pklbin,,,1.9667108673339726,13.348887019230858,5938.0,"motif_276,motif_547","0.1678,0.7645","0.4109,0.9080",520.34003,426.299011,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
473.325773577545_5.60534645638628,0.20340209859010727,3.1590071408078217,473.325773577545,336.32078738317676,9.710179284369298,5270.0,M-H2O+H,,1.0,"NCGC00347357-02_C30H48O5_Olean-12-en-28-oic acid, 2,3,19-trihydroxy-, (2alpha,3beta,5xi,9xi,19alpha)-",isolated,lfnothias,488.35,spectra/specs_ms.pklbin5270,"InChI=1S/C30H48O5/c1-25(2)12-14-30(24(34)35)15-13-28(6)17(21(30)23(25)33)8-9-20-27(5)16-18(31)22(32)26(3,4)19(27)10-11-29(20,28)7/h8,18-23,31-33H,9-16H2,1-7H3,(H,34,35)/t18-,19?,20?,21-,22+,23+,27+,28-,29-,30+/m1/s1",,Maxis II HD Q-TOF Bruker,positive,LC-ESI,471.346,lib-00000.mgf,Gold,1.0,0.553471,0.0,0.0,1.0,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,471.346,,345.827,8.0,CC1(C)CC[C@@]2(CC[C@]3(C)\C(=C/CC4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)C5CC[C@@]34C)[C@@H]2[C@@H]1O)C(O)=O,0.0,471.346,specs_ms.pklbin,CCMSLIB00000852123,8500.1,UPDATE-SINGLE-ANNOTATED-GOLD, ,specs_ms.pklbin,,,-1.9797735775450178,9.506212616823234,5270.0,motif_478,0.8203,0.4474,471.34601,345.826996,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
381.311878879371_8.79733818283165,-1.6325964365661427,4.505405255965903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
427.356616511823_7.6289544217687,-0.8323220644653126,4.619842597655967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
482.398305654261_8.5839627016129,-1.6863073740661427,4.821477719955161,482.398305654261,515.037762096774,13.410990708809008,5438.0,M+H,69747553,1.0,Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14,Isolated,Data deposited by alchemistmatt,0.0,spectra/specs_ms.pklbin5438,,,HCD,Positive,ESI,482.32,lib-00024.mgf,Bronze,3.0,0.8778239999999999,10.3767,0.00500488,1.0,GNPS-NIST14-MATCHES,Data from Charles Ansong,482.32,,501.62699999999995,10.0,,0.0,482.325,specs_ms.pklbin,CCMSLIB00003140187,254153.0,UPDATE-SINGLE-ANNOTATED-BRONZE, ,specs_ms.pklbin,,,-0.07830565426098701,-13.410762096774079,5438.0,,,,482.32500999999996,501.627014,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
